item_name,category,unit,cost_per_unit,par_level,current_qty,storage_location,supplier
Chicken Breast,Protein,lb,3.49,50,35,Walk-In Cooler,Sysco
Ground Beef 80/20,Protein,lb,4.29,40,42,Walk-In Cooler,Sysco
Salmon Fillet,Protein,lb,8.99,20,12,Walk-In Cooler,Pacific Seafood
Shrimp 21/25,Protein,lb,7.49,15,8,Freezer,Pacific Seafood
Pork Tenderloin,Protein,lb,3.99,25,28,Walk-In Cooler,Sysco
Bacon,Protein,lb,5.49,20,15,Walk-In Cooler,US Foods
Roma Tomatoes,Produce,lb,1.89,30,22,Walk-In Cooler,Local Farm Co
Romaine Lettuce,Produce,head,1.49,24,18,Walk-In Cooler,Local Farm Co
Yellow Onions,Produce,lb,0.79,50,45,Dry Storage,Sysco
Garlic,Produce,lb,2.99,10,7,Dry Storage,Sysco
Red Bell Peppers,Produce,each,1.29,20,14,Walk-In Cooler,Local Farm Co
Lemons,Produce,each,0.39,30,35,Walk-In Cooler,Local Farm Co
Russet Potatoes,Produce,lb,0.69,100,78,Dry Storage,Sysco
Mixed Greens,Produce,lb,3.99,15,10,Walk-In Cooler,Local Farm Co
Avocados,Produce,each,1.49,20,6,Walk-In Cooler,Local Farm Co
Heavy Cream,Dairy,qt,3.99,12,8,Walk-In Cooler,Dairy Fresh
Butter Unsalted,Dairy,lb,4.49,20,16,Walk-In Cooler,Dairy Fresh
Parmesan Cheese,Dairy,lb,7.99,10,5,Walk-In Cooler,Dairy Fresh
Mozzarella,Dairy,lb,3.99,15,12,Walk-In Cooler,Dairy Fresh
Eggs Large,Dairy,dozen,3.29,10,7,Walk-In Cooler,Dairy Fresh
Sour Cream,Dairy,pt,1.99,8,6,Walk-In Cooler,Dairy Fresh
AP Flour,Dry Goods,lb,0.49,50,55,Dry Storage,Sysco
Granulated Sugar,Dry Goods,lb,0.59,25,30,Dry Storage,Sysco
Olive Oil Extra Virgin,Dry Goods,gal,18.99,4,3,Dry Storage,Sysco
Vegetable Oil,Dry Goods,gal,7.99,6,4,Dry Storage,Sysco
Kosher Salt,Dry Goods,box,3.49,6,5,Dry Storage,Sysco
Black Pepper Ground,Dry Goods,oz,0.89,10,8,Dry Storage,Sysco
Spaghetti Pasta,Dry Goods,lb,1.29,30,25,Dry Storage,Sysco
Canned Tomatoes,Dry Goods,can(28oz),2.49,24,18,Dry Storage,Sysco
Chicken Stock,Dry Goods,qt,2.99,12,9,Dry Storage,Sysco
Rice Long Grain,Dry Goods,lb,0.89,40,35,Dry Storage,US Foods
Panko Breadcrumbs,Dry Goods,lb,2.49,10,8,Dry Storage,US Foods
French Fries Frozen,Frozen,lb,1.99,50,40,Freezer,Sysco
Vanilla Ice Cream,Frozen,gal,8.99,4,3,Freezer,Dairy Fresh
Frozen Berries Mix,Frozen,lb,3.49,10,7,Freezer,US Foods
Pie Shells,Frozen,each,2.99,8,6,Freezer,US Foods
House Red Wine,Beverage,bottle,7.99,24,18,Bar,Wine Distributors
House White Wine,Beverage,bottle,7.49,24,20,Bar,Wine Distributors
Draft Beer Keg IPA,Beverage,keg,159.99,3,2,Walk-In Cooler,Beer Dist Co
Coca-Cola Syrup,Beverage,box,59.99,4,3,Dry Storage,Coca-Cola
Coffee Beans,Beverage,lb,9.99,20,15,Dry Storage,Local Roasters
Orange Juice,Beverage,gal,4.99,6,4,Walk-In Cooler,Dairy Fresh
To-Go Containers 9x6,Supplies,case(200),45.99,3,2,Dry Storage,Restaurant Supply
Napkins,Supplies,case(6000),32.99,2,1,Dry Storage,Restaurant Supply
Gloves Nitrile M,Supplies,box(100),8.99,10,6,Dry Storage,Restaurant Supply
Sanitizer Tablets,Supplies,bottle,12.99,4,3,Dry Storage,Restaurant Supply
Foil Wrap,Supplies,roll,24.99,4,3,Dry Storage,Restaurant Supply
Parchment Paper,Supplies,roll,7.99,6,4,Dry Storage,Restaurant Supply
Trash Bags 55gal,Supplies,case(100),28.99,2,1,Dry Storage,Restaurant Supply
Dish Soap,Supplies,gal,8.99,3,2,Dry Storage,Restaurant Supply
